fps,yaw,pitch,roll,height,area
1,-1.21,12.31,-5.67,127,36210
2,-1.71,12.41,-6.01,128,36210
3,-0.97,12.85,-5.87,127,36166
4,-1.03,12.43,-6.17,126,36550
5,-1.06,12.52,-6.13,125,37152
6,-0.79,12.5,-6.4,123,37278
7,-0.43,12.49,-6.44,122,37449
8,-0.19,12.42,-6.5,124,37758
9,0.05,12.47,-6.48,123,38368
10,0.2,12.42,-6.44,124,38368
11,0.45,12.51,-6.37,125,38192
12,0.65,12.49,-6.39,125,38626
13,0.83,12.66,-6.82,125,38192
14,1.23,12.66,-7.26,126,38055
15,1.42,12.89,-7.6,125,38409
16,1.35,12.89,-8.02,125,38448
17,1.36,13.03,-8.47,125,38448
18,1.5,12.94,-8.34,124,38232
19,1.16,13.16,-8.28,124,38055
20,1.04,13.32,-7.99,124,37840
21,1.0,13.66,-7.96,124,38232
22,0.78,13.83,-7.91,124,37980
23,0.47,14.0,-7.75,123,37558
24,0.48,14.01,-7.73,124,37411
25,0.72,13.71,-8.1,126,36462
26,1.07,13.43,-8.12,128,36018
27,1.35,13.31,-8.01,127,36784
28,1.38,13.36,-8.43,125,37024
29,1.21,13.24,-8.65,124,37590
